MSTATE,zip_clean,parcel_count,avg_parcel_value,median_parcel_value,total_parcel_value,min_parcel_value,max_parcel_value
NC,28468,5,663086,543646,3315432,368508,1396280
NC,28709,5,371097,368107,1855485,342926,414157
NC,28212,5,6482527,392105,32412635,298576,27977711
NC,27343,4,664587,507949,2658346,300728,1169055
NC,27835,4,2116756,1800771,8467023,638202,4216959
NC,28168,4,618026,466453,2472104,442086,1013428
NC,28207,4,540324,260480,2161294,158078,1277598
NC,28281,4,319827,350000,1279309,212175,366284
NC,28580,4,381153,299541,1524612,260939,598334
NC,28713,4,670349,654260,2681396,401033,845483
NC,28380,4,684739,454812,2738957,41380,1669950
NC,27249,4,437542,357031,1750166,332365,592500
NC,27572,4,413943,316155,1655771,242826,776440
NC,27983,4,315089,280365,1260356,251375,407783
NC,28677,4,409972,278017,1639887,267063,585422
NC,27262,4,408505,265833,1634018,176147,688718
NC,27349,4,581800,370492,2327198,330174,1174454
NC,27503,4,360497,319486,1441986,308336,468632
NC,27828,4,336531,319129,1346124,285456,389398
NC,28247,4,366402,412710,1465608,196664,438241
NC,28323,4,306696,204519,1226784,139861,591547
NC,28391,4,446653,407434,1786610,329588,603512
NC,28394,4,948263,425913,3793052,237741,2426116
NC,28624,4,432060,430434,1728238,423706,437796
NC,28645,4,470584,443972,1882337,408512,529979
NC,28694,4,343983,324180,1375931,205969,493945
NC,27243,4,420309,353902,1681234,306440,585996
NC,27288,4,444399,456756,1777594,246642,575457
NC,27298,4,395810,355674,1583241,302561,462503
NC,27808,4,336462,317051,1345848,265254,438957
NC,27816,4,257118,228405,1028471,203058,321599
NC,27830,4,321077,295587,1284307,153277,492650
NC,27927,4,482010,342350,1928040,191996,757754
NC,28120,4,296684,265823,1186735,233612,417563
NC,28312,4,270553,231298,1082212,198636,403150
NC,28551,4,961190,242605,3844758,190483,3067288
NC,28627,4,413171,308142,1652685,197528,600038
NC,28658,4,1693385,409290,6773540,243940,5593956
NC,28734,4,426667,367122,1706668,183945,728452
NC,28134,4,1558145,435920,6232580,353027,3537190
NC,28429,4,411270,394785,1645081,322612,510381
NC,27563,4,227038,208493,908151,201952,285739
NC,27874,3,379495,389759,1138486,252077,496650
NC,27891,3,219063,260488,657190,130200,266502
NC,28318,3,392205,264120,1176616,229879,682617
NC,28574,3,656246,567147,1968738,425862,975729
NC,28744,3,454158,392294,1362475,333261,636920
NC,28759,3,499257,557552,1497771,222108,718111
NC,27593,3,595942,271817,1787827,245708,1270302
NC,28166,3,511880,521029,1535641,391112,623500
NC,28697,3,403791,421255,1211374,280595,509524
NC,27120,3,1652836,257175,4958507,214245,4487087
NC,27371,3,964096,622411,2892288,320955,1948922
NC,27544,3,314950,327992,944851,181851,435008
NC,27626,3,422541,380033,1267624,205506,682085
NC,28150,3,359039,348933,1077116,257967,470216
NC,28345,3,265167,279816,795502,227398,288288
NC,28422,3,448992,434192,1346977,362396,550389
NC,28510,3,380850,303998,1142551,257338,581215
NC,28712,3,299638,293329,898915,243388,362198
NC,28792,3,272832,253386,818497,251302,313809
NC,27316,3,533041,339222,1599122,337055,922845
NC,27320,3,353060,377289,1059179,304077,377813
NC,27370,3,294125,269231,882375,225695,387449
NC,27715,3,1080482,386369,3241445,348025,2507051
NC,27944,3,292857,341425,878571,129000,408146
NC,27960,3,418327,335688,1254982,331880,587414
NC,28081,3,344245,356646,1032736,291682,384408
NC,28107,3,382114,347080,1146341,293468,505793
NC,28320,3,425935,428379,1277806,382605,466822
NC,28398,3,885003,494611,2655010,218215,1942184
NC,28457,3,382779,298747,1148337,268467,581123
NC,28458,3,156877,88270,470631,82500,299861
NC,28513,3,261558,259549,784674,223757,301368
NC,28602,3,1820696,489199,5462089,326661,4646229
NC,28613,3,434440,458107,1303319,280006,565206
NC,28640,3,412898,364716,1238694,318544,555434
NC,28722,3,171964,215466,515891,1200,299225
NC,28754,3,1370039,1465558,4110116,445806,2198752
NC,28791,3,417347,377830,1252040,306722,567488
NC,27306,3,606212,91476,1818635,48351,1678808
NC,28086,3,1056563,1202091,3169689,282831,1684767
NC,27263,3,714828,820975,2144484,305959,1017550
NC,27377,3,346016,320776,1038048,300057,417215
NC,28054,3,1864573,2203211,5593719,967257,2423251
NC,28716,2,743553,730913,1487106,730913,756193
NC,27045,2,3014988,577992,6029975,577992,5451983
NC,27281,2,348331,320078,696662,320078,376584
NC,27532,2,1851394,1808082,3702788,1808082,1894706
NC,28396,2,586892,304677,1173784,304677,869107
NC,28406,2,819363,801169,1638725,801169,837556
NC,28779,2,368764,302059,737528,302059,435469
NC,27351,2,320270,226604,640539,226604,413935
NC,27231,2,423028,342259,846055,342259,503796
NC,27252,2,398869,215824,797738,215824,581914
NC,27313,2,359804,332274,719607,332274,387333
NC,28147,2,353825,261414,707650,261414,446236
NC,28444,2,385650,380182,771299,380182,391117
NC,28721,2,351875,324367,703749,324367,379382
