MCITY,MSTATE,MZIP,data_quality_issue
MIAMI,FL,33133-3793,Bad State
AVENTURA,FL,33180-3053,Bad State
RIVIERA BEACH,FL,33404-2710,Bad State
PALM BEACH GARDENS,FL,33418-3776,Bad State
TAMPA,FL,33634-6334,Bad State
PUNTA GORDA,FL,33950-2007,Bad State
MARCO ISLAND,FL,34146-1268,Bad State
SARASOTA,FL,34240-9539,Bad State
VESTAVIA,AL,35242-2225,Bad State
NASHVILLE,TN,37205-2216,Bad State
LAWRENCEBURG,TN,38464-7387,Bad State
LOUISVILLE,KY,40241-5153,Bad State
DUBLIN,OH,43017-5452,Bad State
INDIANAPOLIS,IN,46240-2050,Bad State
BLOOMFIELD HILLS,MI,48304-5093,Bad State
HOWELL,MI,48843-5816,Bad State
OKEMOS,MI,48864-5921,Bad State
GRAND RAPIDS,MI,49525-9733,Bad State
GALLATIN GATEWAY,MT,59730-0032,Bad State
NORTHBROOK,IL,60062-7913,Bad State
AURORA,IL,60502-1319,Bad State
CHICAGO,IL,60601-2026,Bad State
CHICAGO,IL,60603-1887,Bad State
CREVE COEUR,MO,63141-9000,Bad State
OVERLAND PARK,KS,66223-2989,Bad State
BAXTER SPRINGS,KS,66713-1544,Bad State
PLANO,TX,75024-6616,Bad State
DALLAS,TX,75219-3936,Bad State
FT WORTH,TX,76123-2145,Bad State
MAGNOLIA,TX,77354-6866,Bad State
AUSTIN,TX,78746-7085,Bad State
DENVER,CO,80224-2355,Bad State
MURRAY,UT,84107-8121,Bad State
SALT LAKE CITY,UT,84171-0870,Bad State
SCOTTSDALE,AZ,85259,Bad State
SURPRISE,AZ,85387-8248,Bad State
PLAYA VISTA,CA,90094-3152,Bad State
GLENDALE,CA,91221-5025,Bad State
WEST HILLS,CA,91304-2341,Bad State
CARLSBAD,CA,92018-0847,Bad State
SAN DIEGO,CA,92109-3008,Bad State
IRVINE,CA,92603-3714,Bad State
LAGUNA HILLS,CA,92653-7564,Bad State
MONTEREY,CA,93940-2005,Bad State
BELMONT,CA,94002-0364,Bad State
BURLINGAME,CA,94010-7212,Bad State
SUNNYVALE,CA,94087-4138,Bad State
DANVILLE,CA,94506-1363,Bad State
FREMONT,CA,94536-1581,Bad State
FREMONT,CA,94539-5370,Bad State
FREMONT,CA,94539-7552,Bad State
FREMONT,CA,94555-2916,Bad State
PLEASANTON,CA,94566-6323,Bad State
DUBLIN,CA,94568-1436,Bad State
MILL VALLEY,CA,94941-6006,Bad State
CUPERTINO,CA,95014-3104,Bad State
CUPERTINO,CA,95014-4357,Bad State
SARATOGA,CA,95070-3228,Bad State
SARATOGA,CA,95070-5208,Bad State
SAN JOSE,CA,95116-3631,Bad State
