MCITY,MSTATE,MZIP,data_quality_issue
PRESCOTT VALLEY,AZ,86314-7650,Bad State
GLENDALE,CA,91205-4028,Bad State
CHINO HILLS,CA,91709-1773,Bad State
BREA,CA,92821-9108,Bad State
GRANBY,CT,06035-1714,Bad State
MITCHELLVILLE,MD,20721-4143,Bad State
MONUMENT,CO,80132-7172,Bad State
SAN JUAN,PR,00907-2501,Bad State
NORTHAMPTON,MA,01060-3631,Bad State
NORTHBOROUGH,MA,01532-2461,Bad State
SHREWSBURY,MA,01545-7731,Bad State
ACTON,MA,01720-3830,Bad State
HOPKINTON,MA,01748-1322,Bad State
BURLINGTON,MA,01803-1807,Bad State
WAKEFIELD,MA,01880-1571,Bad State
WESTFORD,MA,01886-4054,Bad State
FRANKLIN,MA,02038-2332,Bad State
FRANKLIN,MA,02038-4135,Bad State
NORWOOD,MA,02062-5125,Bad State
BOSTON,MA,02115-5113,Bad State
WEST ROXBURY,MA,02132-6003,Bad State
ALLSTON,MA,02134-1711,Bad State
BRIGHTON,MA,02135-3581,Bad State
CAMBRIDGE,MA,02139-3238,Bad State
SOMERVILLE,MA,02144-2624,Bad State
SOMERVILLE,MA,02144-2926,Bad State
BROCKTON,MA,02301-5607,Bad State
SOUTH EASTON,MA,02375-1929,Bad State
BROOKLINE,MA,02445-6912,Bad State
CRANSTON,RI,02920-4503,Bad State
CONCORD,NH,03301-7854,Bad State
EXETER,NH,03833-1813,Bad State
BRUNSWICK,ME,04011-1989,Bad State
STOWE,VT,05672-1423,Bad State
MERIDEN,CT,06450-8342,Bad State
NEW MILFORD,CT,06776-2259,Bad State
DANBURY,CT,06811-5224,Bad State
FAIRFIELD,CT,06824-1646,Bad State
FAIRFIELD,CT,06825-1914,Bad State
RIDGEFIELD,CT,06877-5212,Bad State
CALDWELL,NJ,07006-5007,Bad State
CLIFTON,NJ,07013-4105,Bad State
FORT LEE,NJ,07024-2537,Bad State
MAPLEWOOD,NJ,07040-3135,Bad State
WEST ORANGE,NJ,07052-3204,Bad State
SOUTH ORANGE,NJ,07079-0185,Bad State
SOUTH ORANGE,NJ,07079-1102,Bad State
SPRINGFIELD,NJ,07081-2505,Bad State
UNION,NJ,07083-4271,Bad State
NEWARK,NJ,07107-2414,Bad State
IRVINGTON,NJ,07111-1149,Bad State
JERSEY CITY,NJ,07310-2217,Bad State
OAKLAND,NJ,07436-3716,Bad State
WAYNE,NJ,07470-8442,Bad State
CRESSKILL,NJ,07626-1319,Bad State
ENGLEWOOD,NJ,07631-3682,Bad State
HILLSDALE,NJ,07642-1108,Bad State
MARLTON,NJ,08053-1944,Bad State
PRINCETON,NJ,08540-3080,Bad State
HAMILTON,NJ,08610-5233,Bad State
BRIDGEWATER,NJ,08807-5592,Bad State
DAYTON,NJ,08810-1498,Bad State
EDISON,NJ,08820-3050,Bad State
MONROE,NJ,08831-2379,Bad State
MONROE,NJ,08831-3212,Bad State
OLD BRIDGE,NJ,08857-3815,Bad State
SAYREVILLE,NJ,08872-2152,Bad State
NEW BRUNSWICK,NJ,08902-5515,Bad State
APO,AE,09250-1012,Bad State
APO,AE,09821-0024,Bad State
NEW YORK,NY,10001-5548,Bad State
NEW YORK,NY,10013-1810,Bad State
CANAL STREET,NY,10013-2700,Bad State
NEW YORK,NY,10016-3142,Bad State
NEW YORK,NY,10019-0624,Bad State
NEW YORK,NY,10019-1425,Bad State
NEW YORK,NY,10022-1296,Bad State
NEW YORK,NY,10023-4193,Bad State
NEW YORK,NY,10025-6472,Bad State
NEW YORK,NY,10031-6746,Bad State
NEW YORK,NY,10069-0126,Bad State
NEW YORK,NY,10101-2116,Bad State
BRONX,NY,10470-1914,Bad State
NEW CITY,NY,10956-4132,Bad State
THIELLS,NY,10984-1643,Bad State
ELMONT,NY,11003-1415,Bad State
NEW HYDE PARK,NY,11040-1528,Bad State
LONG ISLAND CITY,NY,11101-8922,Bad State
BROOKLYN,NY,11206-3934,Bad State
BROOKLYN,NY,11212-7855,Bad State
BROOKLYN,NY,11215-2513,Bad State
BROOKLYN,NY,11234-6320,Bad State
BROOKLYN,NY,11234-6711,Bad State
BROOKLYN,NY,11249-5785,Bad State
FLUSHING,NY,11355,Bad State
FRESH MEADOWS,NY,11365-2138,Bad State
FLUSHING,NY,11367-2532,Bad State
FLUSHING,NY,11367-3142,Bad State
CORONA,NY,11368-3004,Bad State
HOWARD BEACH,NY,11414-1207,Bad State
HOWARD BEACH,NY,11414-1531,Bad State
SOUTH OZONE PARK,NY,11420-4026,Bad State
GLEN COVE,NY,11542-1861,Bad State
MERRICK,NY,11566-2516,Bad State
MERRICK,NY,11566-5219,Bad State
VALLEY STREAM,NY,11582-1192,Bad State
WOODMERE,NY,11598-2016,Bad State
BAY SHORE,NY,11706-5026,Bad State
COMMACK,NY,11725-4305,Bad State
HOLTSVILLE,NY,11742-2546,Bad State
DIX HILLS,NY,11746-6206,Bad State
JERICHO,NY,11753-2106,Bad State
MASSAPEQUA PARK,NY,11762-3201,Bad State
RONKONKOMA,NY,11779-3326,Bad State
SAINT JAMES,NY,11780-3044,Bad State
SAYVILLE,NY,11782-2906,Bad State
TROY,NY,12180-8106,Bad State
ALBANY,NY,12205-1138,Bad State
NISKAYUNA,NY,12309-3025,Bad State
NEWBURGH,NY,12550-7012,Bad State
TONAWANDA,NY,14150-1117,Bad State
CANANDAIGUA,NY,14424-1314,Bad State
ROCHESTER,NY,14605-1350,Bad State
HAMMONDSPORT,NY,14840-7007,Bad State
WEST MIFFLIN,PA,15122-1251,Bad State
PITTSBURGH,PA,15212-5402,Bad State
PITTSBURGH,PA,15212-5807,Bad State
PITTSBURGH,PA,15219-3474,Bad State
TITUSVILLE,PA,16354-2168,Bad State
ERIE,PA,16506-7202,Bad State
SNOW SHOE,PA,16874-8706,Bad State
SELINSGROVE,PA,17870-8973,Bad State
BETHLEHEM,PA,18020-7685,Bad State
ALLENTOWN,PA,18104-1615,Bad State
CHINCHILLA,PA,18410-0464,Bad State
DOYLESTOWN,PA,18901-3207,Bad State
WASHINGTON CROSSING,PA,18977-1354,Bad State
CHESTER,PA,19013-3740,Bad State
CLIFTON HEIGHTS,PA,19018-2108,Bad State
SECANE,PA,19018-4428,Bad State
HAVERFORD,PA,19041-1812,Bad State
SHARON HILL,PA,19079-2505,Bad State
PHILADELPHIA,PA,19123-2203,Bad State
PHILADELPHIA,PA,19125-1301,Bad State
PHILADELPHIA,PA,19138-3114,Bad State
PHILADELPHIA,PA,19148-1140,Bad State
ROYERSFORD,PA,19468,Bad State
BIRDSBORO,PA,19508-9458,Bad State
DOUGLASSVILLE,PA,19518-9202,Bad State
HOCKESSIN,DE,19707-2097,Bad State
HOCKESSIN,DE,19707-9419,Bad State
MIDDLETOWN,DE,19709-9892,Bad State
NEWARK,DE,19711-2428,Bad State
NEWARK,DE,19711-2477,Bad State
NEWARK,DE,19711-3767,Bad State
WASHINGTON,DC,20001-3215,Bad State
WASHINGTON,DC,20003-4172,Bad State
WASHINGTON,DC,20007-2913,Bad State
WASHINGTON,DC,20007-4100,Bad State
WASHINGTON,DC,20012-1010,Bad State
WASHINGTON,DC,20015-1252,Bad State
WASHINGTON,DC,20016-4369,Bad State
WASHINGTON,DC,20019-1944,Bad State
WASHINGTON,DC,20037-3308,Bad State
WASHINGTON,DC,20039-0284,Bad State
ALDIE,VA,20105-2090,Bad State
ASHBURN,VA,20147-6084,Bad State
BRAMBLETON,VA,20148-6447,Bad State
ASHBURN,VA,20148-7470,Bad State
STERLING,VA,20166-2746,Bad State
HAYMARKET,VA,20169-1741,Bad State
OAK HILL,VA,20171-1825,Bad State
LEESBURG,VA,20175-5606,Bad State
RESTON,VA,20190-3811,Bad State
WALDORF,MD,20601-5409,Bad State
PRINCE FREDERICK,MD,20678-3859,Bad State
BELTSVILLE,MD,20705-6108,Bad State
LAUREL,MD,20723-2032,Bad State
DUNKIRK,MD,20754-2505,Bad State
HYATTSVILLE,MD,20781-1644,Bad State
HYATTSVILLE,MD,20785-1955,Bad State
BARNESVILLE,MD,20838-9745,Bad State
ROCKVILLE,MD,20850-5706,Bad State
ROCKVILLE,MD,20853-2366,Bad State
POTOMAC,MD,20854-3467,Bad State
DERWOOD,MD,20855-2018,Bad State
GAITHERSBURG,MD,20878-5498,Bad State
SILVER SPRING,MD,20905-6419,Bad State
ELLICOTT CITY,MD,21043-5143,Bad State
COLUMBIA,MD,21045-6653,Bad State
PERRY HALL,MD,21128-8952,Bad State
BALTIMORE,MD,21207-5446,Bad State
BALTIMORE,MD,21229-3632,Bad State
FREDERICK,MD,21701-1976,Bad State
FREDERICK,MD,21704-7636,Bad State
MIDDLETOWN,MD,21769-7941,Bad State
SYKESVILLE,MD,21784-5443,Bad State
SNOW HILL,MD,21863-4449,Bad State
BURKE,VA,22015-3541,Bad State
FAIRFAX,VA,22030-6073,Bad State
FAIRFAX,VA,22030-8227,Bad State
FALLS CHURCH,VA,22042-2303,Bad State
GREAT FALLS,VA,22066-3932,Bad State
SPRINGFIELD,VA,22152-3500,Bad State
VIENNA,VA,22181-6103,Bad State
VIENNA,VA,22182-3014,Bad State
ARLINGTON,VA,22201-1967,Bad State
ARLINGTON,VA,22201-4664,Bad State
ARLINGTON,VA,22207-1908,Bad State
STAFFORD,VA,22554-5335,Bad State
ROCKINGHAM,VA,22801-8399,Bad State
CHARLOTTESVILLE,VA,22901-1155,Bad State
CHARLOTTESVILLE,VA,22911-5769,Bad State
CHARLOTTESVILLE,VA,22911-5771,Bad State
CHARLOTTESVILLE,VA,22911-8537,Bad State
GLEN ALLEN,VA,23060-2334,Bad State
RICHMOND,VA,23226-3404,Bad State
RICHMOND,VA,23226-3791,Bad State
RICHMOND,VA,23229-7139,Bad State
RICHMOND,VA,23230-2150,Bad State
HENRICO,VA,23233-1629,Bad State
VIRGINIA BEACH,VA,23454-4009,Bad State
VIRGINIA BEACH,VA,23455-5549,Bad State
VIRGINIA BEACH,VA,23462-6725,Bad State
NORFOLK,VA,23502-4515,Bad State
HAMPTON,VA,23661-3209,Bad State
SOUTH HILL,VA,23970-5334,Bad State
ROANOKE,VA,24018-8758,Bad State
MONETA,VA,24121-2080,Bad State
PATRICK SPGS,VA,24133-3680,Bad State
LYNCHBURG,VA,24503-3138,Bad State
BEDFORD,VA,24523-3753,Bad State
MADISON HEIGHTS,VA,24572-4563,Bad State
DANIELS,WV,25832-9216,Bad State
CHAPIN,SC,29036-8771,Bad State
COLUMBIA,SC,29205-2366,Bad State
COLUMBIA,SC,29209-1009,Bad State
DUNCAN,SC,29334-9265,Bad State
WOODRUFF,SC,29388-8814,Bad State
CHARLESTON,SC,29403-4380,Bad State
CHARLESTON,SC,29403-4498,Bad State
CHARLESTON,SC,29403-4701,Bad State
FOLLY BEACH,SC,29439-0178,Bad State
MONCKS CORNER,SC,29461-9244,Bad State
MT PLEASANT,SC,29465-1793,Bad State
MOUNT PLEASANT,SC,29466-6957,Bad State
MT PLEASANT,SC,29466-7531,Bad State
DARLINGTON,SC,29532-2812,Bad State
HARTSVILLE,SC,29550-7981,Bad State
LITTLE RIVER,SC,29566-7647,Bad State
NORTH MYRTLE BEACH,SC,29582-4817,Bad State
GREENVILLE,SC,29607-1751,Bad State
GREENVILLE,SC,29609-5009,Bad State
MARIETTA,SC,29661-9424,Bad State
SIMPSONVILLE,SC,29680-6790,Bad State
CHESTERFIELD,SC,29709-1517,Bad State
FORT MILL,SC,29715-7800,Bad State
ROCK HILL,SC,29730-7730,Bad State
DECATUR,GA,30033-2325,Bad State
CUMMING,GA,30041-7994,Bad State
LILBURN,GA,30048-1332,Bad State
LOGANVILLE,GA,30052-4700,Bad State
MARIETTA,GA,30062-6697,Bad State
NORCROSS,GA,30071-2949,Bad State
SMYRNA,GA,30082-4920,Bad State
PEACHTREE CORNERS,GA,30092-2191,Bad State
NORCROSS,GA,30093-2219,Bad State
ACWORTH,GA,30102-2791,Bad State
KENNESAW,GA,30144-3776,Bad State
KENNESAW,GA,30144-4889,Bad State
ROME,GA,30161-5807,Bad State
ATLANTA,GA,30305-1915,Bad State
ATLANTA,GA,30317-1300,Bad State
BROOKHAVEN,GA,30319-2439,Bad State
ATLANTA,GA,30324-4135,Bad State
ATLANTA,GA,30329-3968,Bad State
DUNWOODY,GA,30338-5540,Bad State
BUFORD,GA,30519-4326,Bad State
CENTERVILLE,GA,31028-1339,Bad State
GRAY,GA,31032-4135,Bad State
KATHLEEN,GA,31047-2977,Bad State
MIDDLEBURG,FL,32068-4311,Bad State
PONCE INLET,FL,32127-2224,Bad State
PALM COAST,FL,32137-2206,Bad State
THE VILLAGES,FL,32162-2431,Bad State
JACKSONVILLE BEACH,FL,32250-2511,Bad State
SAINT JOHNS,FL,32259-9458,Bad State
GAINESVILLE,FL,32609-8899,Bad State
APOPKA,FL,32703-3351,Bad State
MAITLAND,FL,32751-4214,Bad State
OVIEDO,FL,32765-5100,Bad State
LONGWOOD,FL,32779-4609,Bad State
ROCKLEDGE,FL,32955-2900,Bad State
DANIA,FL,33004-3620,Bad State
POMPANO BEACH,FL,33069-0965,Bad State
CORAL SPRINGS,FL,33071-5433,Bad State
MIAMI,FL,33131-3162,Bad State
MIAMI,FL,33167-1574,Bad State
ADVENTURA,FL,33180,Bad State
AVENTURA,FL,33180-1431,Bad State
MIAMI,FL,33182-2618,Bad State
FT LAUDERDALE,FL,33316-1707,Bad State
PLANTATION,FL,33324-3722,Bad State
WESTON,FL,33326-1651,Bad State
WEST PALM BEACH,FL,33417,Bad State
BOCA RATON,FL,33428-1162,Bad State
ZEPHYRHILLS,FL,33542-2147,Bad State
LITHIA,FL,33547-5145,Bad State
TAMPA,FL,33611-3859,Bad State
TAMPA,FL,33626-4762,Bad State
TAMPA,FL,33647-3227,Bad State
ST PETERSBURG,FL,33704-2319,Bad State
LAKELAND,FL,33802-2018,Bad State
FORT MYERS,FL,33901-8810,Bad State
CAPE CORAL,FL,33904-4448,Bad State
CAPE CORAL,FL,33991-3065,Bad State
NAPLES,FL,34103-8566,Bad State
BONITA SPRINGS,FL,34135-8385,Bad State
BRADENTON,FL,34211-1714,Bad State
SARASOTA,FL,34238-2824,Bad State
VENICE,FL,34293-1946,Bad State
SAINT CLOUD,FL,34771-8969,Bad State
STUART,FL,34995,Bad State
BIRMINGHAM,AL,35242-8614,Bad State
MONTGOMERY,AL,36106-2634,Bad State
BRENTWOOD,TN,37027-8961,Bad State
CLARKSVILLE,TN,37042-5742,Bad State
MURFREESBORO,TN,37130-3962,Bad State
MURFREESBORO,TN,37130-4912,Bad State
SPRING HILL,TN,37174-3305,Bad State
NASHVILLE,TN,37201-2255,Bad State
NASHVILLE,TN,37206-2606,Bad State
CHATTANOOGA,TN,37405-1823,Bad State
CHATTANOOGA,TN,37415-5984,Bad State
ELIZABETHTON,TN,37644-1893,Bad State
KNOXVILLE,TN,37918-8181,Bad State
MEMPHIS,TN,38114-4908,Bad State
STARKVILLE,MS,39759-2770,Bad State
LOUISVILLE,KY,40206-2103,Bad State
LOUISVILLE,KY,40299-4470,Bad State
POWELL,OH,43065-3525,Bad State
WESTLAKE,OH,44145-1050,Bad State
WESTLAKE,OH,44145-2117,Bad State
OXFORD,OH,45056-1030,Bad State
INDIANAPOLIS,IN,46202-2789,Bad State
GOSHEN,IN,46526-1119,Bad State
FORT WAYNE,IN,46805-4627,Bad State
CHINA,MI,48054-1704,Bad State
TROY,MI,48085-2600,Bad State
BLOOMFIELD TOWNSHIP,MI,48302-1004,Bad State
WEST BLOOMFIELD,MI,48325-5005,Bad State
NOVI,MI,48375-3005,Bad State
LANSING,MI,48917-5803,Bad State
GAYLORD,MI,49735-9547,Bad State
DES MOINES,IA,50309-8000,Bad State
LNDACUN TWP CHANGHUA,CO,51544,Bad State
DUBUQUE,IA,52001-8607,Bad State
MILWAUKEE,WI,53202-3531,Bad State
MADISON,WI,53719-2477,Bad State
EDEN PRAIRIE,MN,55347-2061,Bad State
MINNEAPOLIS,MN,55408-1055,Bad State
BROOKLYN PARK,MN,55428-1500,Bad State
ROCHESTER,MN,55902-6357,Bad State
NORTHBROOK,IL,60062-5945,Bad State
WONDER LAKE,IL,60097-8391,Bad State
DUNDEE,IL,60118-9224,Bad State
ST CHARLES,IL,60175-7947,Bad State
CHICAGO,IL,60606-1598,Bad State
CHICAGO,IL,60607-2481,Bad State
CHICAGO,IL,60647-1402,Bad State
CHICAGO,IL,60657-4839,Bad State
CHICAGO,IL,60661-2555,Bad State
URBANA,IL,61801-4837,Bad State
URBANA,IL,61801-6381,Bad State
CHAMPAIGN,IL,61822-7416,Bad State
GREENVILLE,IL,62246-1418,Bad State
CHESTERFIELD,MO,63017-5613,Bad State
BELLEVIEW,MO,63623-6364,Bad State
WARRENSBURG,MO,64093-9518,Bad State
SHAWNEE MISSION,KS,66282-2913,Bad State
TOPEKA,KS,66610-1571,Bad State
LAFAYETTE,LA,70508-6972,Bad State
RUSTON,LA,71270-1739,Bad State
ALLEN,TX,75002-7689,Bad State
CELINA,TX,75009-4699,Bad State
PLANO,TX,75025-0888,Bad State
FRISCO,TX,75034-4600,Bad State
FRISCO,TX,75036-0170,Bad State
IRVING,TX,75039,Bad State
MCKINNEY,TX,75070-1039,Bad State
RICHARDSON,TX,75080-0038,Bad State
DUNCANVILLE,TX,75137-3633,Bad State
DALLAS,TX,75201-1819,Bad State
DALLAS,TX,75201-2195,Bad State
DALLAS,TX,75201-2442,Bad State
WOODVILLE,TX,75979-5637,Bad State
EULESS,TX,76039-5408,Bad State
FT WORTH,TX,76185-0843,Bad State
HOUSTON,TX,77041-2024,Bad State
HOUSTON,TX,77055-7310,Bad State
HOUSTON,TX,77056-4116,Bad State
HOUSTON,TX,77056-5784,Bad State
HOUSTON,TX,77094-3071,Bad State
HOUSTON,TX,77210-4018,Bad State
HOUSTON,TX,77219-0548,Bad State
SUGAR LAND,TX,77479-6151,Bad State
HELOTES,TX,78023-5112,Bad State
SCHERTZ,TX,78108-3310,Bad State
SAN ANTONIO,TX,78212-2327,Bad State
SAN ANTONIO,TX,78255-3308,Bad State
GEORGETOWN,TX,78633-2381,Bad State
LEANDER,TX,78641-4619,Bad State
LEANDER,TX,78641-5259,Bad State
LEANDER,TX,78641-5565,Bad State
ROUND ROCK,TX,78665-2927,Bad State
AUSTIN,TX,78702-4385,Bad State
WEST LAKE HILLS,TX,78746-3710,Bad State
AUSTIN,TX,78751-4621,Bad State
AUSTIN,TX,78763-5147,Bad State
EL PASO,TX,79904-2746,Bad State
LAFAYETTE,CO,80026-9342,Bad State
SUPERIOR,CO,80027-1570,Bad State
GREENWOOD VILLAGE,CO,80111-3205,Bad State
DENVER,CO,80204-2176,Bad State
DENVER,CO,80205-4375,Bad State
DENVER,CO,80205-4811,Bad State
DENVER,CO,80207-3751,Bad State
EVERGREEN,CO,80439-6261,Bad State
COLORADO SPRINGS,CO,80921-7015,Bad State
NORWOOD,CO,81423-5072,Bad State
MESA,AZ,85212-6607,Bad State
SCOTTSDALE,AZ,85255-7183,Bad State
FOUNTAIN HILLS,AZ,85268-6310,Bad State
ALBUQUERQUE,NM,87111-8162,Bad State
N LAS VEGAS,NV,89030,Bad State
LAS VEGAS,NV,89106-2706,Bad State
LAS VEGAS,NV,89121,Bad State
LAS VEGAS,NV,89135,Bad State
LAS VEGAS,NV,89138-6336,Bad State
LAS VEGAS,NV,89141-6066,Bad State
LAS VEGAS,NV,89193-3041,Bad State
CARSON CITY,NV,89705-8407,Bad State
LOS ANGELES,CA,90039-1492,Bad State
LOS ANGELES,CA,90041-1644,Bad State
LOS ANGELES,CA,90049-3631,Bad State
LOS ANGELES,CA,90049-3956,Bad State
HOLLYWOOD,CA,90068-3604,Bad State
LOS ANGELES,CA,90077-3715,Bad State
DOWNEY,CA,90241-2653,Bad State
HERMOSA BEACH,CA,90254-2047,Bad State
MALIBU,CA,90265-3434,Bad State
TORRANCE,CA,90503-4915,Bad State
NORWALK,CA,90650-3617,Bad State
NORWALK,CA,90650-5211,Bad State
BELLFLOWER,CA,90706-5414,Bad State
SEAL BEACH,CA,90740-7587,Bad State
LONG BEACH,CA,90803-2042,Bad State
SIERRA MADRE,CA,91024-1402,Bad State
GLENDALE,CA,91207-1232,Bad State
SANTA CLARITA,CA,91350-3946,Bad State
STEVENSON RANCH,CA,91381-1545,Bad State
VALENCIA,CA,91381-2108,Bad State
SHERMAN OAKS,CA,91423,Bad State
BURBANK,CA,91504-2934,Bad State
N HOLLYWOOD,CA,91602-2153,Bad State
STUDIO CITY,CA,91604-4162,Bad State
LA PUENTE,CA,91746-1006,Bad State
WEST COVINA,CA,91791-3486,Bad State
EL CAJON,CA,92020-7779,Bad State
ENCINITAS,CA,92024-7267,Bad State
OCEANSIDE,CA,92054-6123,Bad State
OCEANSIDE,CA,92056-2304,Bad State
SANTEE,CA,92071-3736,Bad State
SAN DIEGO,CA,92121-3812,Bad State
SAN DIEGO,CA,92128-2353,Bad State
SAN DIEGO,CA,92130-2180,Bad State
SAN DIEGO,CA,92131-4300,Bad State
SAN DIEGO,CA,92139-3530,Bad State
RIVERSIDE,CA,92506-5791,Bad State
IRVINE,CA,92604-4518,Bad State
IRVINE,CA,92618-2242,Bad State
IRVINE,CA,92620-6201,Bad State
NEWPORT BEACH,CA,92660-1854,Bad State
TRABUCO CANYON,CA,92679-4318,Bad State
ORANGE,CA,92865-1243,Bad State
EASTVALE,CA,92880-9110,Bad State
OJAI,CA,93023-2515,Bad State
SIMI VALLEY,CA,93063-6304,Bad State
BAKERSFIELD,CA,93311-4928,Bad State
LOS ALTOS,CA,94022-1749,Bad State
LOS ALTOS HILLS,CA,94022-3303,Bad State
LOS ALTOS,CA,94024-5934,Bad State
MOUNTAIN VIEW,CA,94040-1126,Bad State
MOUNTAIN VIEW,CA,94043-2013,Bad State
SUNNYVALE,CA,94086-8964,Bad State
SUNNYVALE,CA,94087-3543,Bad State
SAN FRANCISCO,CA,94110-1261,Bad State
SAN FRANCISCO,CA,94114-2177,Bad State
SAN FRANCISCO,CA,94115-3310,Bad State
SAN FRANCISCO,CA,94117-4475,Bad State
SAN FRANCISCO,CA,94122-4438,Bad State
SAN FRANCISCO,CA,94158-2397,Bad State
SAN FRANCISCO,CA,94159-0261,Bad State
PALO ALTO,CA,94306-4551,Bad State
ANTIOCH,CA,94531-8670,Bad State
FREMONT,CA,94538-3911,Bad State
FREMONT,CA,94538-6277,Bad State
FREMONT,CA,94539-3906,Bad State
LIVERMORE,CA,94550-7093,Bad State
CASTRO VALLEY,CA,94552-5377,Bad State
CASTRO VALLEY,CA,94552-5524,Bad State
FREMONT,CA,94555-3520,Bad State
FREMONT,CA,94555-3526,Bad State
NAPA,CA,94558-9777,Bad State
PLEASANTON,CA,94566-6054,Bad State
PLEASANTON,CA,94566-7803,Bad State
DUBLIN,CA,94568-1803,Bad State
DUBLIN,CA,94568-3501,Bad State
DUBLIN,CA,94568-7216,Bad State
DUBLIN,CA,94568-7812,Bad State
SAN RAMON,CA,94582-5393,Bad State
SAN RAMON,CA,94582-5396,Bad State
SAN RAMON,CA,94582-5630,Bad State
SAN RAMON,CA,94582-6012,Bad State
SAN RAMON,CA,94583-4103,Bad State
SAN RAMON,CA,94583-4172,Bad State
PLEASANTON,CA,94588,Bad State
VALLEJO,CA,94591-6804,Bad State
WALNUT CREEK,CA,94598-4103,Bad State
OAKLAND,CA,94609-1027,Bad State
OAKLAND,CA,94619-3024,Bad State
KENSINGTON,CA,94707-1120,Bad State
SAN RAFAEL,CA,94901-3606,Bad State
SAN RAFAEL,CA,94903-2347,Bad State
TIBURON,CA,94920-2024,Bad State
PETALUMA,CA,94952-2843,Bad State
CAMPBELL,CA,95008-4631,Bad State
CUPERTINO,CA,95014-5063,Bad State
CUPERTINO,CA,95014-7107,Bad State
LOS GATOS,CA,95030-5219,Bad State
LOS GATOS,CA,95032-1103,Bad State
LOS GATOS,CA,95032-3718,Bad State
LOS GATOS,CA,95032-4617,Bad State
MILPITAS,CA,95035-3572,Bad State
MILPITAS,CA,95035-6757,Bad State
MILPITAS,CA,95035-6843,Bad State
SANTA CLARA,CA,95050-6163,Bad State
SANTA CRUZ,CA,95062-1202,Bad State
SAN JOSE,CA,95120-3905,Bad State
SAN JOSE,CA,95121-1029,Bad State
SAN JOSE,CA,95124-6040,Bad State
SAN JOSE,CA,95125-4478,Bad State
SAN JOSE,CA,95125-5957,Bad State
SAN JOSE,CA,95132-1763,Bad State
SAN JOSE,CA,95132-3603,Bad State
SAN JOSE,CA,95136-4851,Bad State
SAN JOSE,CA,95138,Bad State
SAN JOSE,CA,95148-3458,Bad State
STOCKTON,CA,95206-5203,Bad State
COPPEROPOLIS,CA,95228-9339,Bad State
MERCED,CA,95348-9642,Bad State
MOUNTAIN HOUSE,CA,95391-1363,Bad State
SANTA ROSA,CA,95409-4101,Bad State
SANTA ROSA,CA,95409-4351,Bad State
BOONVILLE,CA,95415-0094,Bad State
SONOMA,CA,95476-6600,Bad State
FOLSOM,CA,95630-3898,Bad State
ROCKLIN,CA,95677-3254,Bad State
ROSEVILLE,CA,95747-9356,Bad State
ELK GROVE,CA,95757-1700,Bad State
ELK GROVE,CA,95759-0838,Bad State
SACRAMENTO,CA,95811-5204,Bad State
SACRAMENTO,CA,95823-7551,Bad State
SOUTH LAKE TAHOE,CA,96150-5270,Bad State
DPO,AP,96521-5094,Bad State
HALEIWA,HI,96712-1515,Bad State
MAKAWAO,HI,96768-8951,Bad State
PORTLAND,OR,97208-2537,Bad State
PORTLAND,OR,97209-1841,Bad State
BEND,OR,97707-2413,Bad State
BELLEVUE,WA,98006,Bad State
MILL CREEK,WA,98012-7812,Bad State
BOTHELL,WA,98012-9184,Bad State
EDMONDS,WA,98020-3019,Bad State
ISSAQUAH,WA,98027-8680,Bad State
KIRKLAND,WA,98033-4205,Bad State
MERCER ISLAND,WA,98040-4018,Bad State
SEATTLE,WA,98102-3649,Bad State
SEATTLE,WA,98109-5150,Bad State
SEATTLE,WA,98199-3503,Bad State
MOUNT VERNON,WA,98273-5637,Bad State
SNOHOMISH,WA,98296-8803,Bad State
PORT ORCHARD,WA,98367-8761,Bad State
EDGEWOOD,WA,98372-9289,Bad State
SPANAWAY,WA,98387-3444,Bad State
BONNEY LAKE,WA,98391-7895,Bad State
FAIR LAWN,NJ,07410-5352,Bad State
MADISON,NJ,07940-1509,Bad State
MONROE TOWNSHIP,NJ,08831-5306,Bad State
ALDIE,VA,20105-4006,Bad State
CENTREVILLE,VA,20120-3443,Bad State
DALEVILLE,VA,24083-3281,Bad State
CHARLESTON,SC,29414-8051,Bad State
FISHERS,IN,46037-0018,Bad State
OKEMOS,MI,48864-5926,Bad State
BENTONVILLE,AR,72713-6045,Bad State
FRISCO,TX,75035-0234,Bad State
SPRING,TX,77382-1469,Bad State
ROUND ROCK,TX,78681-1140,Bad State
EL CAJON,CA,92021-2548,Bad State
LOS ALTOS,CA,94024-5750,Bad State
REDWOOD CITY,CA,94061-1211,Bad State
PLEASANTON,CA,94588-5316,Bad State
SANTA CLARA,CA,95054-2955,Bad State
SAN JOSE,CA,95124-5718,Bad State
SAN JOSE,CA,95129-1009,Bad State
SEATTLE,WA,98122-3320,Bad State
LEESBURG,VA,20176-7826,Bad State
WEST COLUMBIA,SC,29170-1297,Bad State
MELBOURNE,FL,32940-8715,Bad State
MOUNTAIN BRK,AL,35213-1831,Bad State
NEW BOSTON,MI,48164-9467,Bad State
NEWAYGO,MI,49337-9250,Bad State
BISMARCK,ND,58504-3145,Bad State
DECATUR,IL,62521-9724,Bad State
ROUND ROCK,TX,78665-2243,Bad State
CARLSBAD,CA,92009-4307,Bad State
TEMECULA,CA,92591-7504,Bad State
MISSION VIEJO,CA,92692-5100,Bad State
RONKONKOMA,NY,11779-3704,Bad State
